id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink

access_prescription_order_knk_id,access_prescription_order_knk_name,model_prescription_order_knk,,1,1,1,1


access_prescription_order_line_knk_id,access_prescription_order_line_knk_name,model_prescription_order_line_knk,,1,1,1,1
access_prescription_order_line_knk_new_id,access_prescription_order_line_knk_new_name,model_prescription_order_line_knk_new,,1,1,1,1


access_complaint_list_id,access_complaint_list_name,model_complaint_list,,1,1,1,1
access_complaint_record_line_id,access_complaint_record_line_name,model_complaint_record_line,,1,1,1,1
access_history_list_id,access_history_list_name,model_history_list,,1,1,1,1
access_history_list_line_id,access_history_list_line_name,model_history_list_line,,1,1,1,1
access_sign_list_id,access_sign_list_name,model_sign_list,,1,1,1,1
access_sign_list_line_id,access_sign_list_line_name,model_sign_list_line,,1,1,1,1

access_investigation_list_id,access_investigation_list_name,model_investigation_list,,1,1,1,1
access_investigation_list_line_id,access_investigation_list_line_name,model_investigation_list_line,,1,1,1,1
access_excercise_excercise_id,access_excercise_excercise_name,model_excercise_excercise,,1,1,1,1
access_excercise_ex_line_id,access_excercise_ex_line_name,model_excercise_ex_line,,1,1,1,1
access_ortho_list_id,access_ortho_list_name,model_ortho_list,,1,1,1,1
access_ortho_list_line_id,access_ortho_list_line_name,model_ortho_list_line,,1,1,1,1
access_period_record_id,access_period_record_name,model_period_record,,1,1,1,1

access_location_location_id,access_location_location_name,model_location_location,,1,1,1,1
access_intensity_intensity_id,access_intensity_intensity_name,model_intensity_intensity,,1,1,1,1

access_prescription_order_report_id,access_prescription_order_report_name,model_prescription_order_report,,1,1,1,1

access_item_item_id,access_item_item_name,model_item_item,,1,1,1,1

access_vital_list_line_id,access_vital_list_line_name,model_vital_list_line,,1,1,1,1

access_vital_uom_id,access_vital_uom_name,model_vital_uom,,1,1,1,1

access_diagnosis_diagnosis_id,access_diagnosis_diagnosis_name,model_diagnosis_diagnosis,,1,1,1,1

access_diagnosis_diagnosis_list_id,access_diagnosis_diagnosis_list_name,model_diagnosis_diagnosis_list,,1,1,1,1


access_test_type_id,access_test_type_name,model_test_type,,1,1,1,1

access_prescription_template_id,access_prescription_template_name,model_prescription_template,,1,1,1,1

access_part_location_id,access_part_location_name,model_part_location,,1,1,1,1

access_note_note_id,access_note_note_name,model_note_note,,1,1,1,1

access_patient_import_id,access_patient_import_name,model_patient_import,,1,1,1,1

access_pres_appointment_id,access_pres_appointment_name,model_pres_appointment,,1,1,1,1

access_patient_history_line_id,access_patient_history_line_name,model_patient_history_line,,1,1,1,1

access_patient_history_id,access_patient_history_name,model_patient_history,,1,1,1,1

access_medicine_dose_id,access_medicine_dose_name,model_medicine_dose,,1,1,1,1

access_medicine_group_id,access_medicine_group_name,model_medicine_group,,1,1,1,1

access_medicine_composition_id,access_medicine_composition_name,model_medicine_composition,,1,1,1,1

access_medicine_route_id,access_medicine_route_name,model_medicine_route,,1,1,1,1

access_medicine_food_id,access_medicine_food_name,model_medicine_food,,1,1,1,1

access_med_frequency_id,access_med_frequency_name,model_med_frequency,,1,1,1,1

access_appointment_schedule_id,access_appointment_schedule_name,model_appointment_schedule,,1,1,1,1
access_appointment_schedule_lines_id,access_appointment_schedule_lines_name,model_appointment_schedule_lines,,1,1,1,1
access_appointment_schedule_slot_id,access_appointment_schedule_slot_name,model_appointment_schedule_slot,,1,1,1,1
access_appointment_schedule_slot_lines_id,access_appointment_schedule_slot_lines_name,model_appointment_schedule_slot_lines,,1,1,1,1
access_appointment_scheduler_wizard_id,access_appointment_scheduler_wizard_name,model_appointment_scheduler_wizard,,1,1,1,1

access_referral_partner_id,access_referral_partner_name,model_referral_partner,,1,1,1,1

access_radiology_request_id,access_radiology_request_name,model_radiology_request,,1,1,1,1
access_radiology_request_line_id,access_radiology_request_line_name,model_radiology_request_line,,1,1,1,1


access_patient_type_id,access_patient_type_name,model_patient_type,,1,1,1,1


